champion,kills,deaths,assists,totalMinionsKilled,goldEarned,timeCCingOthers,totalDamageDealtToChampions,totalDamageTaken,visionScore,Cleanse,Exhaust,Flash,Ghost,Heal,Smite,Teleport,Clarity,Ignite,Barrier,To the King!,Poro Toss,Mark,Nexus Siege: Siege Weapon Slot,Nexus Siege: Siege Weapon Slot,Disabled Summoner Spells,Disabled Summoner Spells
Annie,8.87995,9.27219,15.4481,95.4254,14201.6,34.189,23557.2,21104.8,17.0382,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olaf,9.43347,8.35882,11.3208,125.016,14066.3,19.5659,20416.6,34128.8,15.5687,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Galio,5.24885,8.11446,14.9931,133.992,12849.4,41.8387,18374.8,28805.4,16.7326,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TwistedFate,6.85295,7.36816,11.6062,163.005,14090.8,34.2766,20353.9,22058.4,16.7293,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XinZhao,8.2094,8.02512,9.07291,71.6341,13390.5,20.2597,18527.4,33178.7,21.1898,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Urgot,8.39144,9.10406,12.3192,146.319,14775.3,29.2033,21264.1,31252.4,13.2691,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leblanc,9.14824,7.04897,8.81922,137.334,12937.9,24.0946,21156.4,21633.5,19.4396,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vladimir,7.15383,6.69024,8.9424,181.597,13266.3,5.48237,23393.4,30442.2,16.3835,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fiddlesticks,7.30077,8.58402,17.2421,80.0347,13836.0,117.51,22848.2,24703.1,23.6647,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kayle,8.99126,9.14592,14.4527,153.253,15605.0,12.0816,22261.9,29478.9,14.4683,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MasterYi,9.83111,7.77756,6.7993,82.2668,14121.9,4.18661,17699.4,29294.8,19.1118,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alistar,3.32688,6.34163,17.8569,42.4372,10763.9,51.6482,10251.8,27172.2,42.3132,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryze,7.13764,7.79681,11.2115,166.709,13725.3,30.5154,21667.8,25095.7,16.7579,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sion,6.26809,7.37243,14.429,128.976,13406.2,53.7135,19334.4,35448.7,21.1226,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sivir,10.3189,9.69753,20.5086,188.071,17448.5,1.37913,30518.6,25142.0,11.3718,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soraka,1.70579,6.40748,20.5608,19.8283,10937.2,47.6698,7099.98,15518.1,34.4234,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teemo,6.71405,7.34444,8.30147,137.279,12655.3,43.0418,24202.9,20351.0,20.2404,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tristana,8.61042,6.97866,8.71988,185.513,14520.4,5.494,20941.2,21540.3,16.566,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwick,9.58451,8.24289,11.884,53.4777,14161.7,32.1245,16443.5,39966.8,18.5464,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nunu,7.37035,9.77988,18.4765,55.4694,14409.2,22.5494,16771.1,35688.0,17.9747,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MissFortune,8.97028,8.04855,13.5211,132.988,14075.4,13.0143,25455.8,21006.8,25.0333,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ashe,7.56148,8.20915,13.8549,163.964,14399.6,49.319,22280.1,20368.2,16.3294,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tryndamere,7.07316,7.96981,8.61729,159.98,14214.5,12.7292,16774.5,36547.6,18.5075,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jax,7.53248,6.99133,7.10357,112.152,13235.8,20.404,16155.7,27628.7,20.7949,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Morgana,5.73122,6.94312,19.4531,79.1726,13088.3,66.1379,19466.1,21339.8,29.2551,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zilean,5.47078,6.68635,20.2268,75.3398,13460.6,27.3907,18549.1,19652.1,26.0608,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singed,5.70944,8.89578,14.952,159.715,13461.8,43.9517,20404.1,33922.5,14.1672,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evelynn,8.65903,7.61158,9.08802,31.6728,12600.1,11.8698,17430.8,26227.3,19.2225,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Twitch,9.69916,7.3923,10.5257,159.132,14224.2,16.5634,22543.7,21469.3,15.1307,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karthus,10.0497,11.2088,19.3819,150.156,15973.8,25.0303,35933.4,28714.8,12.5728,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chogath,7.83317,6.93552,11.9036,122.848,13416.2,92.6642,18928.6,39136.0,15.529,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amumu,6.68548,8.96079,16.2422,46.8931,13628.9,45.7046,16974.9,33104.9,18.1272,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rammus,5.56441,7.07462,13.1367,41.029,12060.4,48.5416,13455.4,31148.2,21.2332,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anivia,6.90006,5.97718,11.443,161.911,13939.7,49.7265,20795.1,26006.2,18.6471,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaco,7.96192,7.17706,10.4545,56.7687,13054.1,26.4704,17602.7,23916.3,19.4127,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrMundo,7.72538,8.48586,14.0886,104.652,14314.1,19.7359,23054.4,42784.8,15.3853,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sona,4.73671,7.11103,19.8534,23.6013,11881.9,15.4423,15774.5,19169.0,35.0897,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kassadin,8.64011,6.45536,8.14474,166.546,13109.9,22.3828,22026.6,25102.9,18.1467,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Irelia,9.6339,7.66369,7.79308,179.674,13965.5,21.5422,20156.6,31528.0,18.4276,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janna,2.13308,5.12625,20.5461,19.416,11453.7,40.3222,7410.13,15877.3,36.1352,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gangplank,6.90366,6.95191,10.4918,185.033,15016.3,12.1583,22316.2,26044.1,18.0936,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Corki,10.8567,9.43791,14.458,156.179,17238.8,2.86318,28304.6,26724.6,13.4445,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Karma,4.36301,6.82769,15.1685,66.0204,11800.2,22.9588,15216.5,17805.6,32.5434,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taric,3.46487,6.56112,21.3133,41.3175,11783.4,33.6437,8375.14,25166.8,32.2317,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Veigar,9.80074,7.77532,13.6753,129.95,14577.4,40.1209,23991.2,19727.2,19.2732,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trundle,5.95709,7.04168,13.1765,113.911,13133.8,33.3254,14605.0,38729.6,19.4964,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swain,7.80062,9.37761,15.6174,146.109,14440.1,36.7677,28343.6,39457.0,13.423,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caitlyn,7.47795,7.36327,10.2271,191.888,14272.5,23.1156,22516.5,19777.5,15.6286,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blitzcrank,3.76766,6.30178,15.0685,41.3474,10739.2,37.9801,11326.4,22827.0,41.347,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malphite,6.4653,7.22207,12.1185,114.307,12677.0,38.2625,17873.1,23188.5,17.3946,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Katarina,11.6768,7.95844,8.56568,162.969,14076.4,2.04195,23451.0,23665.9,17.0492,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nocturne,8.33236,6.58024,7.36198,72.168,13165.1,97.4528,16817.9,27772.9,23.2496,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maokai,5.21152,6.12028,14.9813,124.94,12689.0,77.0326,19834.2,35614.7,19.4507,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renekton,6.74531,7.56629,9.55221,173.814,13552.2,23.5896,17706.0,34935.3,16.2945,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JarvanIV,6.7476,6.26658,12.6465,68.5162,12496.1,20.1135,14922.4,27675.7,28.1271,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elise,7.51195,6.0917,8.78904,36.3249,12211.2,23.3188,15507.0,23254.3,26.8658,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orianna,6.42149,6.33886,11.8933,184.776,13270.9,22.8064,20569.6,16981.7,18.7757,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MonkeyKing,10.8963,9.13318,12.2519,99.0255,14716.7,17.7242,22527.8,27993.1,15.6154,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brand,7.5606,8.45298,13.7339,72.977,12962.7,23.2842,25412.7,20573.0,29.6035,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LeeSin,7.51979,6.34353,9.30945,39.7354,12237.1,18.1751,13714.9,28762.5,36.4792,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vayne,9.19778,8.27713,7.57596,176.778,15046.4,12.622,21342.2,22730.1,16.1345,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rumble,7.80653,8.26397,12.893,136.916,13700.5,16.7716,23913.1,24630.4,16.3054,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cassiopeia,7.33674,7.61743,11.4114,164.576,13912.5,36.721,22444.3,24913.7,16.1436,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skarner,5.14463,9.24705,17.2834,30.6391,13980.3,41.4734,12350.5,32763.2,16.3247,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heimerdinger,8.51888,8.95426,15.23,153.687,15380.4,26.1917,28925.7,20594.0,11.7794,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nasus,6.56387,7.0626,8.82465,183.955,13612.8,15.7263,20265.0,33591.2,14.2672,0.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nidalee,9.14678,7.44125,12.4218,53.574,14169.7,2.32094,20833.7,28166.8,21.537,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Udyr,7.29463,7.44636,8.44916,52.2995,13145.2,28.2663,12910.2,30852.7,18.2837,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
